tech_id,technology_name,technology_description,technology_variant,main_process,main_operation_unit,ontology_iri
TECH_00001,NH3 CCGT El,"A combined cycle gas turbine (CCGT) system utilizing ammonia (NH3) as fuel, featuring a gas turbine and a heat recovery steam generator (HRSG) to produce electricity. The system operates with a closed-loop configuration, optimizing thermal efficiency through waste heat recovery.",Ammonia-Fueled Combined Cycle Gas Turbine (NH3-CCGT),PROC_00001,Gas Turbine Combustion Chamber and Heat Recovery Steam Generator (HRSG),
TECH_00002,AmmoniaOCGT,"A gas turbine system utilizing ammonia as fuel for power generation through combustion processes, operating within open or combined cycle configurations. It converts chemical energy from ammonia into mechanical work, typically involving combustion, heat recovery, and turbine expansion stages.",Ammonia-Fueled Open Cycle Gas Turbine (OCGT),PROC_00002,Ammonia Combustion Chamber,
TECH_00003,CH4 CCGT CCS,Methane-fueled CCGT with carbon capture and storage (CCS) (2030).,CCGT with CCS,PROC_00001,Gas turbine,
TECH_00004,Methane CHP,Combined heat and power (CHP) generation using methane (CH₄).,Methane-fueled,PROC_00003,Gas turbine,
TECH_00005,CH4 Fuel Cell El,Methane-fueled fuel cell electricity generation at El47 (2030).,Solid Oxide,PROC_00004,Fuel cell stack,
TECH_00006,CH4 OCGT Electricity,Methane-fueled open cycle gas turbine (OCGT) electricity generation (2030).,Open Cycle,PROC_00002,Gas turbine,
TECH_00007,Geothermal CHP Electricity and Heat,Geothermal-based CHP generation (2040).,,PROC_00005,Steam Turbine,
TECH_00008,H2 CCGT Electricity,Hydrogen-fueled combined cycle gas turbine (CCGT) electricity generation (2050).,Hydrogen-fueled,PROC_00001,Gas turbine combustor,
TECH_00009,El Fuel Cell SOFC,Electricity generation via fuel cells at node El47 (2040).,Solid Oxide,PROC_00004,Fuel cell stack,
TECH_00010,H2 Fuel Cell El Building,Electricity generation via fuel cells in buildings (2030).,Solid Oxide,PROC_00004,Fuel cell stack,
TECH_00011,H2 OCGT El,Hydrogen-fueled open cycle gas turbine (OCGT) electricity generation (2050).,Hydrogen-fueled,PROC_00002,Gas turbine,
TECH_00012,El Pumped Hydro Pump,Pumped hydroelectric energy storage (pump mode).,N/A,PROC_00006,Pump,
TECH_00013,Hydro Pumped Turbine El,Pumped hydroelectric power generation (turbine mode).,Pumped Hydro Turbine,PROC_00007,Turbine,
TECH_00014,Hydro RunOfRiver Conversion,Run-of-river hydroelectric power plant.,Run-of-river diversion channel,PROC_00008,Hydraulic turbine,
TECH_00015,HydroReservoirElectricity,Hydroelectric power generation from storage reservoirs.,Storage Reservoir Turbine System,PROC_00009,Hydro Turbine,
TECH_00016,MSW Incineration Electricity,Electricity generation from municipal solid waste (MSW) incineration.,Thermal incineration system,PROC_00010,Incinerator furnace,
