process_id,process_name,process_description,process_type,process_category,main_sector,feedstocks,products
PROC_00001,Methane-Fueled CCGT with CCS Electricity Generation,"A methane-fueled combined cycle gas turbine (CCGT) system with carbon capture and storage (CCS) that converts natural gas (CH4) and hydrogen (H2) into electricity (El13), utilizing ammonia (NH3) as a potential hydrogen carrier or auxiliary fuel. The process includes combustion, power generation, and CO2 capture for storage, positioning it within the power sector's net grid as a low-carbon electricity generation method.",conversion,Thermochemical Conversion,power,"['NH3', 'CH4', 'H2']",['El13']
PROC_00002,Methane-Fueled Open Cycle Gas Turbine Electricity Generation,"Methane-fueled open cycle gas turbine (OCGT) electricity generation converts chemical energy from methane (CH4), ammonia (NH3), and hydrogen (H2) into electrical energy (El13) through combustion and thermodynamic expansion, serving as a baseload power generation technology within the net grid.",conversion,Power Generation,power,"['NH3', 'CH4', 'H2']",['El13']
PROC_00003,Combined Heat and Power (CHP) Generation using Methane,"A process that converts methane (CH4) into electricity (El47) and thermal energy (ThHt) through combined heat and power generation. This process is integrated into the energy grid to provide simultaneous electrical and thermal outputs, enhancing overall energy efficiency.",conversion,Thermal Power Generation,power,['CH4'],"['El47', 'ThHt']"
PROC_00004,Methane-Fueled Fuel Cell Electricity and Heat Generation,"A methane-fueled solid oxide fuel cell (SOFC) converts natural gas (CH4) and hydrogen (H2) into electricity (El47), heat (ThHt), building electricity (ElBdg), and building heat (ThBdg). This process is integrated into the energy grid to provide decentralized power and thermal energy solutions for industrial and residential applications.",conversion,Fuel Cell Technology,Power,"['CH4', 'H2']","['El47', 'ThHt', 'ElBdg', 'ThBdg']"
PROC_00005,Geothermal CHP Generation,Geothermal-based combined heat and power generation converts geothermal heat from underground (ThGround) into electricity (El47) and useful heat (ThHt). This process is integrated into the energy grid to supply both power and thermal energy demands.,conversion,Combined Heat and Power Systems,power,['ThGround'],"['El47', 'ThHt']"
PROC_00006,Pumped Hydro Storage,"Pumped hydroelectric energy storage (pump mode) involves using electrical energy to pump water from a lower reservoir to an upper reservoir, storing potential energy which can be converted back to electrical energy when needed. This process is integrated into the grid to manage energy supply and demand imbalances.",storage,Energy Storage Systems,power,['El13'],['HydroPumped']
PROC_00007,Pumped Hydro Power Generation,"A process that generates electricity by releasing water stored in an upper reservoir through turbines, converting potential energy into electrical energy. It is part of the grid's energy storage and generation system.",conversion,Power Generation,power,['HydroPumped'],['El13']
PROC_00008,Run-of-river Hydroelectric Power Generation,"A run-of-river hydroelectric power plant harnesses the kinetic energy of flowing water from a river without the need for a large dam. The process converts this energy into electrical power, which is then integrated into the regional power grid. This method minimizes environmental disruption while providing a renewable and sustainable energy source.",conversion,Hydropower Generation,power,['HydroRor'],['El13']
PROC_00009,Hydroelectric Reservoir Plant,"Converts the potential energy of water stored in reservoirs into electrical energy through turbines and generators, integrating into the power grid as a renewable energy source.",conversion,Hydropower,power,['HydroS'],['El13']
PROC_00010,Electricity Generation from Municipal Solid Waste Incineration,"The process involves incinerating municipal solid waste to generate electricity and thermal energy, integrating into the energy grid as a waste-to-energy solution.",conversion,Thermochemical Upgrading,power,['Msw'],"['El13', 'ThHt']"
PROC_00011,Alpine Ground-Mounted Photovoltaic,"A ground-mounted photovoltaic system designed for alpine regions, converting solar energy into electrical energy. Based on the ETHZ study from 2024, this technology utilizes solar panels to generate electricity, contributing to renewable energy production in mountainous areas.",conversion,Renewable Energy Technology,power,['ElPvAlpin'],['El13']
PROC_00012,Rooftop Photovoltaic,"A photovoltaic system that converts solar energy into electricity for building use, operating at a small scale and integrated into the power grid in 2025.",conversion,Renewable Energy Conversion,power,['Sol'],['ElBdg']
PROC_00013,Electricity Generation via Nuclear Fission,"A thermodynamic process where nuclear fission of U235 generates heat, which is used to produce steam and drive turbines, converting nuclear energy into electricity within the power grid.",conversion,Nuclear Fission Energy Conversion,power,['U235'],['El13']
PROC_00014,Onshore Wind Electricity Generation,"Converts wind energy into electricity using onshore wind turbines, feeding into the power grid as a renewable energy source.",conversion,Wind Power Generation,power,['ElWind'],['El13']
PROC_00015,Biomass Combined Heat and Power Plant,"A process that converts wood into electricity and heat through combined heat and power generation, integrating into the energy grid for efficient resource utilization.",conversion,Thermochemical Upgrading,power,['Wood'],"['El47', 'ThHt']"
PROC_00016,Methane-Fired Boiler,"Thermodynamic conversion of methane (CH4) into thermal energy for building heating, producing thermal building (ThBdg) and thermal process heat II (ThPhII) as outputs.",conversion,Thermochemical Upgrading,heat,['CH4'],"['ThBdg', 'ThPhII']"
PROC_00017,Electric Heating System for Buildings,"Converts electrical energy into thermal energy for building heating applications, utilizing resistance heating technology. Operates within the building sector to provide direct heat output.",conversion,Thermal Conversion,heat,"['ElBdg', 'ElRest']","['ThBdg', 'ThPhII']"
PROC_00018,Electric Heat Pump with Thermal Storage for Building Heating,"Converts electrical energy from buildings into thermal energy, which is stored for later use in building heating applications. Integrated within the building energy system to provide efficient heating solutions.",conversion,Thermal Energy Conversion,heat,['ElBdg'],['ThSc']
PROC_00019,Hydrogen-Fueled Boiler,"A hydrogen-fueled heating system that converts hydrogen into thermal power for use in thermal power plants, integrated into the energy grid to provide heat and power.",conversion,Thermal Power Generation,Power,['H2'],['ThPhII']
PROC_00020,Residential Air-source Heat Pump Operation,"Converts electrical energy into thermal energy for residential heating applications using a fixed coefficient of performance (COP) of 4, typically involving vapor-compression cycles to transfer heat from the ambient air to a building's thermal system.",conversion,Thermal Conversion,heat,['ElBdg'],['ThBdg']
PROC_00021,Low-Temperature Heat Upgrade for District Heating,"A thermodynamic conversion process that upgrades low-temperature thermal energy (ThLt) and electrical energy (ElRest) into high-temperature thermal energy (ThHt) for integration into district heating networks, enabling efficient heat distribution within the energy system.",conversion,Thermal Upgrading,heat,"['ElRest', 'ThLt']",['ThHt']
PROC_00022,Building Heating via Oil-Fired Boiler,"Converts hydrocarbon fuel (C12) into thermal energy (ThBdg) for building heating, integrated within the building's thermal distribution network.",conversion,Thermal Conversion,heat,['C12'],"['ThBdg', 'ThPhII']"
PROC_00023,Biomass-Fueled Boiler for Building Heating,"A thermodynamic conversion process where wood is combusted to generate thermal energy for building heating, integrated into the heating grid.",conversion,Thermal Conversion,Heat,['Wood'],"['ThBdg', 'ThPhII']"
PROC_00024,Ammonia Synthesis (Haber–Bosch Process),"The Haber–Bosch process synthesizes ammonia (NH3) from hydrogen (H2) and nitrogen (N2) gases under high pressure and temperature, catalyzed by iron-based catalysts. It is a cornerstone of industrial chemical production, primarily used in fertilizer manufacturing.",conversion,Thermochemical Upgrading,industry,"['H2', 'N2']","['NH3', 'ThPhII']"
